iter	Passed	Remaining
263	1507	4203
264	1511	4193
265	1515	4182
266	1518	4167
267	1519	4151
268	1522	4137
269	1525	4125
270	1527	4110
271	1532	4101
272	1534	4086
273	1537	4073
274	1539	4057
275	1540	4040
276	1541	4023
277	1542	4006
278	1545	3994
279	1547	3978
280	1548	3962
281	1549	3946
282	1551	3930
283	1552	3914
284	1553	3898
285	1555	3883
286	1556	3867
287	1558	3852
288	1561	3840
289	1562	3825
290	1563	3810
291	1565	3795
292	1566	3780
293	1567	3764
294	1569	3749
295	1570	3734
296	1571	3719
297	1572	3705
298	1575	3693
299	1576	3679
300	1579	3667
301	1580	3653
302	1581	3639
303	1583	3624
304	1584	3610
305	1585	3596
306	1586	3582
307	1588	3568
308	1592	3562
309	1594	3548
310	1595	3535
311	1596	3521
312	1598	3507
313	1599	3494
314	1600	3481
315	1601	3467
316	1603	3454
317	1606	3445
318	1607	3432
319	1609	3419
320	1610	3406
321	1611	3393
322	1612	3380
323	1614	3368
324	1616	3356
325	1617	3343
326	1618	3330
327	1621	3322
328	1622	3310
329	1624	3297
330	1625	3285
331	1626	3272
332	1628	3261
333	1629	3249
334	1630	3236
335	1631	3224
336	1632	3212
337	1635	3203
338	1637	3192
339	1638	3180
340	1639	3169
341	1641	3158
342	1642	3146
343	1643	3134
344	1644	3122
345	1645	3111
346	1647	3100
347	1650	3092
348	1652	3082
349	1653	3071
350	1655	3060
351	1656	3049
352	1657	3038
353	1658	3027
354	1659	3015
355	1661	3004
356	1662	2994
357	1665	2986
358	1667	2976
359	1669	2967
360	1670	2957
361	1672	2946
362	1673	2936
363	1674	2926
364	1676	2915
365	1677	2905
366	1680	2899
367	1682	2889
368	1683	2879
369	1685	2869
370	1686	2859
371	1687	2849
372	1689	2839
373	1690	2830
374	1692	2820
375	1694	2811
376	1695	2802
377	1697	2793
378	1699	2784
379	1700	2774
380	1701	2764
381	1702	2754
382	1704	2745
383	1705	2735
384	1706	2726
385	1707	2716
386	1711	2710
387	1712	2701
388	1713	2691
389	1715	2682
390	1716	2673
391	1718	2664
392	1719	2655
393	1720	2646
394	1721	2636
395	1723	2628
396	1725	2620
397	1726	2611
398	1728	2603
